	Air Quality Network	Air Quality Network Name	Air Quality Station EoI Code	Air Quality Station Name	Air Pollutant	Air Pollutant Description	Year	Air Pollution Level	Unit Of Air Pollution Level	Data Coverage	Verification	Air Quality Station Type	Air Quality Station Area	Longitude	Latitude	Altitude	Source Of Data Flow	Calculation Time
6345	NET-RS002A	Serbian national AQ network	RS0038A	Kostolac	CO	Carbon monoxide (air)	2019	0.0	mg/m3	98.24	1.0	Industrial	Suburban	21.1734	44.7175	75.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
6346	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	O3	Ozone (air)	2020	4085.095	ug/m3	91.52	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 21:35:26
6354	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	PM10	Particulate matter < 10 µm (aerosol)	2020	120.0	count	88.8	1.0	Background	Suburban	20.9317	44.6523	147.0	E1a/validated data AQ e-Reporting	31/05/2022 20:49:11
6357	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2019	0.0	count	84.71	1.0	Background	Suburban	20.9317	44.6523	147.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:46:32
6358	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	NO2	Nitrogen dioxide (air)	2021	24.463	ug/m3	92.6	3.0	Background	Urban	20.4591	44.8211	103.0	E2a/UTD AQ e-Reporting	31/05/2022 20:37:17
6359	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	NOX as NO2	Nitrogen oxides (air)	2019	3.954	ug/m3	95.72	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
6360	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2019	110.78	ug/m3	84.71	1.0	Background	Suburban	20.9317	44.6523	147.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:14:43
6362	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	CO	Carbon monoxide (air)	2019	0.0	count	98.63	3.0	Background	Urban	20.4591	44.8211	103.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:49:38
6363	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2019	89.006	ug/m3	84.71	1.0	Background	Suburban	20.9317	44.6523	147.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:33:02
6365	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	CO	Carbon monoxide (air)	2019	-0.176	mg/m3	99.19	3.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
6366	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2019	0.955	ug/m3	84.71	1.0	Background	Suburban	20.9317	44.6523	147.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:54:52
6367	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	CO	Carbon monoxide (air)	2020	1.425	mg/m3	99.18	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 20:35:30
6368	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2021	0.317	ug/m3	93.56	3.0	Background	Suburban	20.9317	44.6523	147.0	E2a/UTD AQ e-Reporting	31/05/2022 20:54:52
6372	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	SO2	Sulphur dioxide (air)	2020	8.558	ug/m3	98.36	1.0	Background	Urban	21.919	43.3226	198.0	E1a/validated data AQ e-Reporting	31/05/2022 20:37:34
6376	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	PM10	Particulate matter < 10 µm (aerosol)	2021	0.209	ug/m3	87.99	3.0	Background	Urban	21.919	43.3226	198.0	E2a/UTD AQ e-Reporting	31/05/2022 20:54:52
6380	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	O3	Ozone (air)	2020	110.329	ug/m3	100.0	1.0	Background	Urban	21.919	43.3226	198.0	E1a/validated data AQ e-Reporting	31/05/2022 20:36:41
6383	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	SO2	Sulphur dioxide (air)	2021	84.112	ug/m3	93.74	3.0	Background	Urban	19.899	44.273	181.0	E2a/UTD AQ e-Reporting	31/05/2022 20:30:29
6386	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	PM10	Particulate matter < 10 µm (aerosol)	2020	259.3	ug/m3	95.36	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 20:34:18
6388	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	NO2	Nitrogen dioxide (air)	2020	180.5	ug/m3	95.9	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
